0.99	59.91	0.00	60.00
1.44	69.00	1.00	69.00
1.82	66.82	2.00	67.00
2.22	65.15	3.00	65.00
2.63	59.96	4.00	60.00
3.95	60.18	5.00	60.00
4.39	68.98	6.00	69.00
4.73	66.88	7.00	67.00
5.11	64.18	8.00	65.00
5.46	62.09	9.00	62.00
6.81	61.95	10.00	62.00
7.23	70.12	11.00	70.00
7.55	68.99	12.00	69.00
7.94	66.86	13.00	67.00
8.29	63.78	14.00	64.00
9.60	72.01	15.00	72.00
9.93	72.00	16.00	72.00
10.34	70.01	17.00	70.00
10.68	66.77	18.00	67.00
11.05	68.72	19.00	69.00
12.45	59.85	20.00	60.00
12.80	68.71	21.00	69.00
13.19	66.61	22.00	67.00
13.52	64.99	23.00	65.00
13.86	59.81	24.00	60.00
15.17	59.92	25.00	60.00
15.56	68.89	26.00	69.00
15.90	66.57	27.00	67.00
16.23	64.10	28.00	65.00
16.61	61.61	29.00	62.00
17.87	61.93	30.00	62.00
18.32	69.08	31.00	70.00
18.65	68.78	32.00	69.00
19.00	66.65	33.00	67.00
19.35	71.75	34.00	72.00
19.68	71.22	35.00	72.00
20.15	71.69	36.00	72.00
20.78	73.98	37.00	74.00
21.11	71.10	38.00	72.00
21.49	69.20	39.00	70.00
21.80	66.62	40.00	67.00
-1.00	-1.00	41.00	-1.00
