TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.640000,251.577774,1,246.941651
0.845000,279.098572,2,277.182631
1.370000,270.643707,3,277.182631
1.640000,242.061295,4,246.941651
1.870000,274.403564,5,277.182631
2.220000,249.842377,6,246.941651
2.605000,189.623077,7,184.997211
2.810000,182.804871,8,184.997211
3.115000,210.424637,9,207.652349
3.355000,210.753510,10,207.652349
3.580000,233.144287,11,233.081881
3.790000,nan,12,nan
4.005000,232.759415,13,233.081881
4.360000,nan,14,nan
