TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
4.165000,413.908539,1,415.304698
4.455000,416.584839,2,415.304698
4.850000,420.903931,3,415.304698
5.070000,nan,4,nan
5.275000,414.822723,5,415.304698
5.895000,481.375214,6,493.883301
6.220000,525.150208,7,523.251131
6.485000,nan,8,nan
6.690000,412.760620,9,415.304698
7.080000,366.817871,10,369.994423
7.620000,413.675446,11,415.304698
7.830000,359.849304,12,369.994423
8.040000,363.704956,13,369.994423
8.250000,303.470337,14,311.126984
8.515000,327.857513,15,329.627557
