TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.340000,251.298706,1,246.941651
0.545000,204.945206,2,207.652349
0.775000,180.307755,3,184.997211
1.035000,207.161087,4,207.652349
1.555000,228.179260,5,233.081881
1.830000,274.120850,6,277.182631
2.050000,254.772614,7,261.625565
2.310000,249.376526,8,246.941651
2.705000,175.063965,9,174.614116
3.005000,205.380676,10,207.652349
3.400000,178.854919,11,174.614116
3.720000,204.484619,12,207.652349
3.935000,210.747391,13,207.652349
