TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,326.890594,0,329.627557
0.980000,330.700012,1,329.627557
1.200000,329.427307,2,329.627557
1.440000,280.099701,3,277.182631
1.675000,290.879578,4,293.664768
1.890000,331.433868,5,329.627557
2.270000,441.475372,6,440.000000
3.580000,443.895386,7,440.000000
3.835000,396.389801,8,391.995436
4.225000,388.020477,9,391.995436
4.645000,447.748840,10,440.000000
5.005000,443.022003,11,440.000000
5.330000,333.095398,12,329.627557
5.635000,338.041351,13,329.627557
5.870000,342.296631,14,349.228231
6.145000,nan,15,nan
