TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
1.705000,403.637146,1,415.304698
1.950000,396.455627,2,391.995436
2.155000,399.669556,3,391.995436
2.360000,407.682007,4,415.304698
2.680000,404.332703,5,415.304698
2.900000,nan,6,nan
3.100000,397.845154,7,391.995436
3.725000,388.499786,8,391.995436
4.065000,343.931824,9,349.228231
4.275000,340.921387,10,349.228231
4.665000,331.058350,11,329.627557
4.885000,306.169525,12,311.126984
5.365000,298.203247,13,293.664768
5.590000,259.650330,14,261.625565
5.965000,nan,15,nan
