2.98	48.21	0.00	60.00
3.41	56.98	1.00	69.00
3.90	55.87	2.00	67.00
4.36	53.21	3.00	65.00
4.81	48.34	4.00	60.00
6.83	48.26	5.00	60.00
7.31	57.29	6.00	69.00
7.80	55.08	7.00	67.00
8.29	52.84	8.00	65.00
8.75	49.94	9.00	62.00
10.79	50.35	10.00	62.00
11.31	57.28	11.00	70.00
11.73	56.00	12.00	69.00
12.27	54.83	13.00	67.00
12.64	52.12	14.00	64.00
14.90	60.86	15.00	72.00
15.25	60.26	16.00	72.00
15.82	58.21	17.00	70.00
16.33	55.17	18.00	67.00
16.80	57.37	19.00	69.00
18.85	48.49	20.00	60.00
19.35	57.88	21.00	69.00
19.88	54.10	22.00	67.00
20.43	53.02	23.00	65.00
20.91	48.12	24.00	60.00
22.97	48.49	25.00	60.00
23.42	57.99	26.00	69.00
23.97	54.98	27.00	67.00
24.50	52.16	28.00	65.00
25.04	50.08	29.00	62.00
27.02	51.06	30.00	62.00
27.56	59.21	31.00	70.00
28.03	57.16	32.00	69.00
28.53	52.22	33.00	67.00
29.01	59.25	34.00	72.00
29.50	59.21	35.00	72.00
29.99	59.31	36.00	72.00
30.94	61.10	37.00	74.00
31.50	59.39	38.00	72.00
32.02	57.16	39.00	70.00
32.50	53.99	40.00	67.00
33.01	52.93	41.00	65.00
