0.65	67.04	0.00	67.00
1.57	59.91	1.00	60.00
2.03	62.05	2.00	62.00
2.53	63.87	3.00	64.00
3.02	65.25	4.00	65.00
3.58	67.24	5.00	67.00
5.55	59.16	6.00	60.00
6.81	68.24	7.00	69.00
7.73	64.21	8.00	65.00
8.20	66.93	9.00	67.00
8.68	67.99	10.00	69.00
9.18	70.30	11.00	71.00
9.80	71.24	12.00	72.00
12.06	60.93	13.00	60.00
12.96	64.96	14.00	65.00
13.36	64.98	-1.00	19.00
13.92	67.06	15.00	67.00
14.31	65.15	16.00	65.00
14.78	64.19	17.00	64.00
15.28	62.22	18.00	62.00
15.88	64.15	19.00	64.00
16.81	65.14	20.00	65.00
17.33	63.96	21.00	64.00
17.81	62.02	22.00	62.00
18.33	60.93	23.00	60.00
18.97	60.07	24.00	59.00
19.98	60.27	25.00	60.00
20.45	61.68	26.00	62.00
20.94	63.21	27.00	64.00
21.45	60.26	28.00	60.00
22.18	62.14	29.00	62.00
22.65	66.78	30.00	67.00
23.17	60.94	31.00	60.00
23.51	62.02	32.00	62.00
24.11	62.45	33.00	64.00
24.48	64.98	34.00	65.00
25.05	66.99	35.00	67.00
26.18	60.38	36.00	60.00
26.86	61.70	37.00	62.00
27.12	64.20	38.00	64.00
27.58	65.14	39.00	65.00
28.12	67.11	40.00	67.00
30.05	60.02	41.00	60.00
31.24	68.76	42.00	69.00
32.20	65.81	43.00	65.00
33.31	67.90	44.00	67.00
33.87	69.29	46.00	71.00
34.26	71.11	47.00	72.00
36.24	61.60	48.00	60.00
37.48	64.88	49.00	65.00
38.33	66.74	50.00	67.00
38.77	64.40	51.00	65.00
39.30	63.35	52.00	64.00
39.81	61.92	53.00	62.00
40.40	63.81	54.00	64.00
41.40	64.96	55.00	65.00
41.88	63.18	56.00	64.00
42.43	62.01	57.00	62.00
42.90	60.13	58.00	60.00
43.45	61.65	59.00	62.00
44.45	64.09	60.00	64.00
44.93	61.89	61.00	62.00
45.44	60.02	62.00	60.00
45.95	59.13	63.00	59.00
46.43	60.19	64.00	60.00
