1.13	67.15	0.00	67.00
2.06	72.04	1.00	72.00
3.04	67.03	2.00	67.00
4.81	62.80	3.00	64.00
5.62	67.11	4.00	67.00
7.39	75.24	5.00	76.00
8.23	72.10	6.00	72.00
9.91	74.06	7.00	74.00
10.64	74.18	8.00	74.00
11.10	76.14	9.00	76.00
11.47	73.84	10.00	74.00
12.75	72.10	11.00	72.00
13.46	71.11	12.00	71.00
14.17	73.66	13.00	74.00
14.99	66.84	14.00	67.00
16.41	64.19	15.00	64.00
17.23	71.67	16.00	72.00
17.98	68.95	17.00	69.00
19.43	66.78	18.00	67.00
20.12	64.81	19.00	65.00
20.92	68.86	20.00	69.00
21.55	62.24	21.00	62.00
23.14	66.75	22.00	67.00
23.70	69.00	23.00	69.00
24.00	66.89	24.00	67.00
24.38	65.12	25.00	65.00
24.84	64.15	26.00	64.00
25.34	65.25	27.00	67.00
25.77	62.04	28.00	62.00
26.52	60.25	29.00	60.00
-1.00	-1.00	30.00	-1.00
30.10	67.10	31.00	67.00
30.90	72.19	32.00	72.00
31.79	66.99	33.00	67.00
33.01	63.89	34.00	64.00
33.49	67.14	35.00	67.00
34.39	76.01	36.00	76.00
35.12	71.90	37.00	72.00
36.83	74.08	38.00	74.00
37.58	74.10	39.00	74.00
38.00	75.96	40.00	76.00
38.38	73.92	41.00	74.00
39.54	72.17	42.00	72.00
40.04	71.15	43.00	71.00
40.76	73.80	44.00	74.00
41.58	66.77	45.00	67.00
43.06	64.03	46.00	64.00
43.84	71.81	47.00	72.00
44.62	69.01	48.00	69.00
45.82	67.13	49.00	67.00
46.26	65.04	50.00	65.00
47.68	69.20	51.00	69.00
48.43	62.42	52.00	62.00
50.00	67.06	53.00	67.00
50.54	69.05	54.00	69.00
50.84	66.91	55.00	67.00
51.28	64.24	56.00	65.00
57.21	66.95	57.00	64.00
58.42	67.07	58.00	60.00
58.88	72.15	59.00	67.00
59.61	74.05	60.00	72.00
61.88	68.06	61.00	72.00
