TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.695000,167.713394,1,164.813778
0.910000,168.428986,2,164.813778
1.125000,165.297989,3,164.813778
1.540000,166.803299,4,164.813778
1.865000,176.201462,5,174.614116
2.070000,165.638641,6,164.813778
2.475000,123.641373,7,123.470825
2.690000,109.175270,8,110.000000
3.255000,126.306091,9,123.470825
3.540000,127.773781,10,130.812783
3.785000,115.965729,11,116.540940
4.100000,145.355347,12,146.832384
4.300000,162.520050,13,164.813778
4.595000,174.000244,14,174.614116
5.250000,184.126602,15,184.997211
