TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,353.981903,0,349.228231
0.665000,460.290955,1,466.163762
1.035000,521.155640,2,523.251131
1.255000,518.125610,3,523.251131
1.630000,581.918152,4,587.329536
1.830000,581.677368,5,587.329536
2.620000,514.085205,6,523.251131
3.025000,569.291321,7,554.365262
3.225000,581.720093,8,587.329536
4.035000,521.090942,9,523.251131
4.385000,577.445007,10,587.329536
4.715000,657.232056,11,659.255114
4.940000,583.220947,12,587.329536
5.355000,455.132935,13,466.163762
5.615000,467.724304,14,466.163762
