TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.950000,91.716553,1,92.498606
1.700000,92.729073,2,92.498606
2.025000,92.252747,3,92.498606
2.225000,nan,4,nan
2.460000,103.459122,5,103.826174
2.690000,93.020050,6,92.498606
3.045000,nan,7,nan
3.300000,81.520706,8,82.406889
3.760000,80.016388,9,77.781746
4.005000,102.848541,10,103.826174
4.480000,111.997307,11,110.000000
4.755000,125.283569,12,123.470825
5.020000,125.528946,13,123.470825
5.225000,117.844879,14,116.540940
5.470000,121.351456,15,123.470825
5.685000,96.297684,16,97.998859
5.965000,94.838715,17,92.498606
