TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,346.585266,0,349.228231
0.700000,370.658813,1,369.994423
1.310000,310.023590,2,311.126984
1.660000,349.895447,3,349.228231
2.140000,329.774353,4,329.627557
2.395000,272.836853,5,277.182631
2.645000,274.303284,6,277.182631
3.095000,256.005157,7,261.625565
3.300000,206.025406,8,207.652349
3.520000,241.609894,9,246.941651
3.775000,239.096588,10,233.081881
4.080000,268.091827,11,261.625565
4.300000,229.573547,12,233.081881
4.550000,224.121979,13,220.000000
4.845000,nan,14,nan
