TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.450000,485.255005,1,493.883301
0.955000,478.870300,2,466.163762
1.205000,457.081238,3,466.163762
1.430000,476.731720,4,466.163762
1.670000,488.236084,5,493.883301
1.910000,484.664551,6,493.883301
2.230000,531.399048,7,523.251131
2.585000,544.289429,8,554.365262
3.155000,509.450287,9,523.251131
3.360000,540.128662,10,554.365262
3.570000,538.929871,11,554.365262
3.780000,467.696594,12,466.163762
3.990000,453.097748,13,466.163762
4.270000,453.697632,14,466.163762
4.505000,480.314972,15,493.883301
4.780000,477.005951,16,466.163762
4.995000,478.631317,17,466.163762
5.205000,412.251617,18,415.304698
