TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,383.769836,0,391.995436
0.630000,369.257690,1,369.994423
0.870000,370.175293,2,369.994423
1.145000,375.525085,3,369.994423
1.380000,383.948761,4,391.995436
1.580000,448.152100,5,440.000000
1.840000,495.106689,6,493.883301
2.345000,442.151611,7,440.000000
2.985000,450.238190,8,440.000000
3.200000,445.060272,9,440.000000
3.735000,499.276672,10,493.883301
4.080000,426.776459,11,415.304698
4.370000,308.168762,12,311.126984
4.620000,298.320129,13,293.664768
5.130000,299.095703,14,293.664768
5.335000,298.785095,15,293.664768
5.560000,297.739044,16,293.664768
5.925000,298.862335,17,293.664768
6.125000,297.686218,18,293.664768
