TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.505000,541.659790,1,554.365262
0.755000,450.749847,2,440.000000
1.130000,452.206085,3,440.000000
1.340000,456.752625,4,466.163762
1.670000,520.686707,5,523.251131
2.010000,407.522339,6,415.304698
2.255000,405.629456,7,415.304698
2.455000,402.862396,8,391.995436
2.710000,405.975647,9,415.304698
2.910000,406.380554,10,415.304698
3.115000,434.926819,11,440.000000
3.380000,403.775391,12,415.304698
3.710000,401.835358,13,391.995436
3.935000,354.528473,14,349.228231
4.495000,356.780975,15,349.228231
4.730000,nan,16,nan
