TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.580000,131.143005,1,130.812783
0.835000,122.532898,2,123.470825
1.235000,118.739479,3,116.540940
1.545000,119.349937,4,116.540940
1.790000,98.171143,5,97.998859
2.070000,86.808655,6,87.307058
2.305000,88.736725,7,87.307058
2.605000,88.153114,8,87.307058
2.850000,87.121941,9,87.307058
3.230000,87.732811,10,87.307058
3.560000,88.073639,11,87.307058
3.935000,104.873642,12,103.826174
4.140000,108.266670,13,110.000000
4.375000,109.810867,14,110.000000
4.735000,121.976105,15,123.470825
