TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.570000,111.280937,1,110.000000
0.820000,113.490433,2,116.540940
1.025000,107.986160,3,110.000000
1.245000,102.894333,4,103.826174
1.645000,109.211365,5,110.000000
1.860000,110.470367,6,110.000000
2.280000,113.028641,7,110.000000
2.555000,110.242882,8,110.000000
2.900000,118.333389,9,116.540940
3.150000,111.278831,10,110.000000
3.350000,114.963516,11,116.540940
3.555000,106.264343,12,103.826174
3.855000,88.384277,13,87.307058
4.105000,86.550941,14,87.307058
5.255000,75.058212,15,73.416192
5.490000,78.043129,16,77.781746
5.695000,82.400551,17,82.406889
6.205000,84.575226,18,82.406889
6.410000,85.125748,19,87.307058
6.635000,86.850571,20,87.307058
