TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.540000,148.741547,1,146.832384
0.755000,161.251068,2,164.813778
0.970000,152.894348,3,155.563492
1.305000,nan,4,nan
1.545000,132.739120,5,130.812783
1.750000,134.496033,6,130.812783
1.970000,131.649780,7,130.812783
2.745000,157.585632,8,155.563492
3.030000,162.049484,9,164.813778
3.255000,139.030212,10,138.591315
3.510000,155.002014,11,155.563492
4.160000,163.497330,12,164.813778
4.395000,160.024185,13,155.563492
4.600000,nan,14,nan
4.855000,133.428192,15,130.812783
5.135000,121.837448,16,123.470825
5.410000,121.040192,17,123.470825
5.700000,121.367401,18,123.470825
6.020000,nan,19,nan
