TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.755000,89.537628,1,87.307058
1.070000,98.445297,2,97.998859
1.585000,75.978714,3,77.781746
1.815000,80.185249,4,82.406889
2.035000,93.762794,5,92.498606
2.300000,99.186935,6,97.998859
2.530000,126.446457,7,123.470825
2.795000,129.798950,8,130.812783
3.625000,129.844147,9,130.812783
3.885000,nan,10,nan
4.105000,110.426445,11,110.000000
4.315000,109.294479,12,110.000000
4.760000,127.672470,13,130.812783
5.090000,130.150467,14,130.812783
5.510000,98.169945,15,97.998859
6.115000,96.945534,16,97.998859
6.335000,nan,17,nan
