TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.590000,96.161560,1,97.998859
0.985000,129.795044,2,130.812783
1.790000,117.059753,3,116.540940
2.240000,100.963394,4,103.826174
2.460000,104.319748,5,103.826174
2.855000,115.860588,6,116.540940
3.430000,116.055145,7,116.540940
3.770000,119.673538,8,116.540940
4.010000,135.710724,9,138.591315
4.235000,116.502396,10,116.540940
4.440000,102.622299,11,103.826174
4.675000,103.901566,12,103.826174
4.920000,98.232964,13,97.998859
5.695000,87.645836,14,87.307058
