TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.460000,505.757416,1,493.883301
0.700000,502.812622,2,493.883301
0.905000,495.957092,3,493.883301
1.300000,474.371674,4,466.163762
1.720000,506.170654,5,493.883301
1.930000,503.448669,6,493.883301
2.165000,510.070618,7,523.251131
2.375000,471.350708,8,466.163762
2.765000,500.777161,9,493.883301
2.970000,501.451385,10,493.883301
3.735000,502.690460,11,493.883301
4.255000,483.497894,12,493.883301
4.530000,518.252869,13,523.251131
4.775000,500.987854,14,493.883301
