TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.685000,144.383743,1,146.832384
0.895000,162.544830,2,164.813778
1.215000,161.721771,3,164.813778
1.435000,182.296768,4,184.997211
1.665000,185.572830,5,184.997211
1.955000,165.471420,6,164.813778
2.190000,165.503006,7,164.813778
2.505000,145.563202,8,146.832384
2.875000,136.231201,9,138.591315
3.155000,138.327774,10,138.591315
3.580000,105.123047,11,103.826174
3.815000,108.079971,12,110.000000
4.050000,nan,13,nan
4.400000,118.283157,14,116.540940
4.605000,139.914886,15,138.591315
4.830000,147.209793,16,146.832384
5.240000,136.792542,17,138.591315
5.440000,134.197388,18,130.812783
5.705000,147.663284,19,146.832384
5.920000,115.139656,20,116.540940
6.130000,110.638222,21,110.000000
6.350000,110.096741,22,110.000000
6.560000,111.579712,23,110.000000
