TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,86.516846,0,87.307058
2.105000,88.108932,1,87.307058
2.305000,85.892784,2,87.307058
2.615000,97.127457,3,97.998859
2.820000,92.502701,4,92.498606
3.060000,103.677231,5,103.826174
3.280000,92.617447,6,92.498606
3.695000,103.511429,7,103.826174
4.155000,138.613586,8,138.591315
4.395000,131.339844,9,130.812783
4.860000,123.975815,10,123.470825
5.270000,122.742584,11,123.470825
5.505000,129.115662,12,130.812783
5.790000,123.426071,13,123.470825
