TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.755000,182.933975,1,184.997211
0.965000,166.925278,2,164.813778
1.210000,156.105545,3,155.563492
1.420000,173.321350,4,174.614116
1.710000,154.706589,5,155.563492
2.060000,154.975677,6,155.563492
2.445000,128.376709,7,130.812783
2.820000,132.987183,8,130.812783
3.025000,111.357742,9,110.000000
3.225000,131.234802,10,130.812783
3.480000,114.187119,11,116.540940
3.690000,nan,12,nan
3.905000,117.050720,13,116.540940
4.230000,128.319504,14,130.812783
4.625000,132.843048,15,130.812783
4.840000,123.112823,16,123.470825
5.185000,111.709251,17,110.000000
5.440000,119.820160,18,116.540940
5.655000,115.367035,19,116.540940
5.955000,129.609451,20,130.812783
6.315000,136.634842,21,138.591315
