TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.890000,79.901825,1,77.781746
1.135000,87.491058,2,87.307058
1.835000,98.316566,3,97.998859
2.130000,95.971413,4,97.998859
2.375000,96.851799,5,97.998859
2.640000,109.711136,6,110.000000
2.935000,111.348526,7,110.000000
3.465000,147.028015,8,146.832384
3.930000,132.446259,9,130.812783
4.145000,134.712097,10,138.591315
4.410000,135.843536,11,138.591315
4.675000,130.739090,12,130.812783
4.910000,125.025726,13,123.470825
5.115000,100.450142,14,97.998859
5.415000,100.028854,15,97.998859
6.020000,nan,16,nan
